ID stanice;mesic detekce;druhy z roku detekce;hodnota rozdilu teplot
1;1;2018;8.91935
1;3;2018;4.3129
1;3;2019;4.01935
1;4;2018;6.66
1;5;2019;5.86129
1;6;2020;4.65667
1;7;2021;2.12903
1;8;2015;5.46774
1;8;2016;4.64516
1;9;2023;4.68667
1;11;2020;3.70333
1;12;2016;3.86129
2;1;1988;11.229
2;2;1966;10.4143
2;4;1983;5.26333
2;5;1987;4.18065
2;5;1992;4.30323
2;7;1984;4.57742
2;10;1966;6.36129
2;12;1986;5.9129
3;3;1972;4.42258
3;3;1977;4.69677
3;5;1979;3.67742
3;6;1979;4.20667
3;7;1975;2.64194
3;8;1971;3.47484
3;8;1976;2.79677
3;9;1976;4.45333
3;10;1975;2.94516
4;1;1988;11.0065
4;1;2007;10.2613
4;4;2018;7.14
4;10;1966;6.21613
387;1;2020;3.87097
387;2;2021;4.57956
387;2;2022;3.45
387;4;2021;3.72667
387;6;2020;3.76
387;7;2021;2.1
387;8;2022;2.49355
387;9;2023;4.34
387;10;2022;2.3
387;11;2019;2.36333
387;11;2020;2.77667
387;12;2021;2.84839
397;1;2020;5.07742
397;2;2021;3.30062
397;4;2021;4.13667
397;5;2022;2.99032
397;6;2020;4.79
397;7;2021;1.71613
397;8;2021;2.8
397;8;2022;2.77419
397;9;2023;5.80333
397;10;2022;3.00645
397;12;2021;2.43226
7;2;1966;8.4
7;3;1962;6.08387
7;3;1977;6.44194
7;5;1970;3.65484
7;10;1966;6.3871
407;2;2021;4.75813
407;2;2022;3.58929
407;6;2020;4.11333
407;7;2021;2.32258
407;8;2021;2.22903
407;8;2022;2.85806
407;9;2023;4.46333
407;11;2020;3.37
407;11;2023;2.85
407;12;2021;2.85484
8;1;1988;10.9806
8;1;2007;10.7581
8;4;2018;6.62333
8;5;2019;5.79032
8;10;1966;6.13548
9;1;1988;9.86129
9;1;2007;10.4258
9;3;1962;6.32903
9;3;2014;6.67097
9;5;2019;5.50968
9;7;1984;4.68387
9;10;1966;6.02258
9;11;2008;9.05167
10;1;2018;8.88387
10;3;2014;5.87419
10;3;2018;4.43871
10;4;2018;6.44
10;5;2019;5.57419
10;6;2020;4.11333
10;8;2015;5.24194
10;8;2016;4.7
10;9;2023;4.23
10;11;2012;3.79667
10;12;2013;3.30968
10;12;2016;3.82258
395;1;2006;6.19032
395;2;2003;7.77143
395;4;2001;4.13333
395;5;2004;3.47419
395;9;2000;4.35667
395;12;2001;5.80968
12;1;1963;8.00645
12;2;1966;8.39286
12;3;1962;6.8129
12;7;1963;2.84194
12;7;1967;2.48065
12;7;1968;2.40645
12;9;1962;2.98667
12;10;1966;5.49032
13;1;1988;10.2065
13;1;2007;10.8065
13;3;2014;6.89032
13;5;2019;5.57419
13;10;1966;5.76774
405;1;2018;7.46129
405;3;2014;6.48065
405;4;2018;6.58333
405;5;2019;5.76129
405;6;2020;3.96
405;7;2021;2.60323
405;8;2015;5.29677
405;8;2016;4.88387
405;9;2023;4.59333
405;11;2020;3.55
405;12;2016;4.25161
14;1;2007;8.6871
14;2;1966;8.98571
14;3;1977;6.40323
14;12;2001;6.15161
15;2;1966;8.17857
15;3;1962;6.72258
15;3;1977;5.60645
15;8;1976;2.67419
15;10;1966;6.02903
415;1;1988;8.95806
415;3;2013;6.96452
415;3;2014;7.40645
415;5;1992;5.46129
415;7;1984;5.41935
415;7;1994;5.38387
415;8;2015;5.26129
415;11;1994;6.14333
415;11;1995;5.22667
16;1;1983;9.51935
16;1;1988;9.96452
16;5;2019;5.44839
16;7;1984;5.17419
16;8;2015;5.49677
16;9;2023;4.36667
16;12;1980;4.09677
17;1;1988;9
17;2;1966;10.6214
17;3;2014;8.12903
409;3;1962;6.18065
409;3;1977;5.72581
409;6;1965;2.94667
409;10;1966;4.99677
409;11;1995;5.23333
18;1;2007;10.7677
18;1;2018;9.79032
18;2;1996;8.21293
18;2;2003;8.27857
18;3;2007;5.83548
18;5;2019;5.30645
18;8;2015;4.63226
18;8;2016;4.12903
18;11;2001;6.97667
18;12;2001;7.49032
19;1;1988;10.3581
19;1;2007;9.99355
19;5;2019;6.15161
19;10;1966;6.78065
403;1;2019;4.43548
403;2;2019;6.58214
403;3;2019;4.64516
403;5;2019;5.23548
403;6;2019;4.43667
403;6;2020;4.59
403;7;2021;2.22581
403;9;2023;5.68
403;10;2022;2.45484
403;11;2020;3.70667
403;12;2021;2.66129
20;1;1988;9.55484
20;1;2007;9.33226
20;2;1966;9.71786
20;5;2019;5.37097
20;7;1984;4.27742
20;7;2001;4.44516
20;12;2001;7.07742
21;1;1988;10.7935
21;1;2007;11.1484
21;5;2019;5.33548
21;7;1984;4.45484
21;10;1966;7.48065
413;1;1988;9.30323
413;5;1991;4.52581
413;5;1992;5.07097
413;6;1979;3.83667
413;6;1992;3.48333
413;7;1984;5.01935
22;1;1988;11.2871
22;1;2007;10.0419
22;2;1966;9.90357
22;3;1977;6.77419
22;7;1996;4.35806
22;10;1966;7.19355
23;1;1988;10.7968
23;2;1996;9.64692
23;4;1983;4.65667
23;9;2023;4.93333
23;10;1966;6.95161
487;1;2007;9.22258
487;3;1962;6.86129
487;3;2013;7.29032
487;3;2014;7.78387
487;5;2019;5.83226
487;8;2015;5.34516
487;10;1966;5.36129
487;11;1994;5.98667
24;2;1966;8.87857
24;3;1962;6.19032
24;3;1977;6.27742
24;7;1984;4.87419
24;10;1966;7.47097
24;11;1985;6.93789
481;3;2013;7.43871
481;3;2014;8.64194
481;11;1994;5.96
27;1;1988;10.3742
27;2;1996;8.35677
27;4;1998;5.37667
27;7;1984;4.20323
27;7;1994;3.71936
27;7;1996;3.84516
27;10;1997;4.35806
27;11;1988;5.44
27;12;1997;5.92581
28;1;2007;10.6355
28;2;1991;8.67143
28;2;1996;9.14409
28;5;2019;5.68387
28;7;1984;5.08065
28;7;1994;4.37419
28;7;1996;4.74194
28;8;2015;5.3129
28;12;1997;6.0129
28;12;2011;6.46129
29;1;1988;8.85484
29;1;2007;9.42581
29;3;2014;7.42258
29;7;1984;5.37097
485;1;2007;8.00968
485;1;2018;6.3
485;2;1991;8.21071
485;2;2003;6.85357
485;2;2019;6.90357
485;3;2013;7.24839
485;3;2014;8.51935
485;4;2018;6.1
485;7;1994;5.60645
485;7;1996;5.58065
485;8;2015;5.25806
485;8;2016;4.23548
485;11;1994;5.64
30;1;1979;3.92581
30;2;1978;3.56429
30;3;1977;5.76452
30;4;1977;2.57
30;5;1980;4.04839
30;6;1979;3.21
30;6;1980;3.35
30;9;1976;4.97
30;11;1978;2.79333
30;12;1979;3.59032
31;1;1983;8.30645
31;3;1962;6.29032
31;3;1977;6.05484
31;5;1980;3.40645
31;5;1981;2.75484
31;7;1984;5.15806
431;1;2018;7.73226
431;2;2021;5.73202
431;2;2022;5.47857
431;3;2018;4.62581
431;3;2019;4.40323
431;6;2020;4.38667
431;7;2018;1.97419
431;9;2017;4.60667
431;9;2023;4.17667
32;1;1988;8.41935
32;1;2007;8.77419
32;3;2014;6.72258
32;8;2015;5.32258
33;1;1988;8.2129
33;1;2007;8.99677
33;2;1991;7.3
33;2;1996;7.45702
33;2;2003;6.60357
33;3;2014;6.67097
33;5;2019;6.25484
33;7;1994;4.56774
33;8;2015;5.6
33;12;1997;5.39032
33;12;2011;5.5129
425;1;1988;9.57097
425;1;2007;9.89677
425;5;1992;4.86129
425;11;1994;5.61
425;11;1995;4.97667
34;3;1977;5.91613
34;4;1974;1.54667
34;4;1977;1.57333
34;8;1972;3.12581
34;9;1976;3.99
34;11;1976;2.95333
34;12;1979;3.39677
419;3;1962;6.56129
419;3;2013;6.79677
419;3;2014;7.39677
419;11;1994;6.03333
36;1;2007;8.59677
36;2;1996;7.64704
36;2;2003;6.94286
36;3;2007;5.04194
36;5;2004;3.61613
36;6;2004;3.79
36;7;1996;4.16452
36;10;2002;4.52258
36;11;1994;4.46667
36;12;1997;5.63871
37;3;2014;7.65161
37;8;2015;5.68065
37;12;1997;5.77419
429;1;2007;10.6613
429;2;1996;8.51564
429;2;1997;6.57635
429;2;2003;8.49643
429;5;2004;3.46774
429;6;2004;3.53
429;11;1995;4.96
429;11;2007;4.34333
429;12;1997;6.82903
38;1;2007;10.0194
38;2;1996;8.54409
38;2;2003;7.48571
38;3;2014;6.55806
38;3;2018;5.7129
38;5;2019;5.74516
38;7;1996;4.7129
38;8;2015;5.49032
38;11;1994;5.06333
38;12;1997;6.08387
38;12;2011;6.53548
39;1;2018;7.36129
39;3;2013;5.85806
39;3;2014;7.54194
39;3;2018;5.71935
39;4;2018;6.65333
